id,pagina_carta,categoria_carta,bodega,nombre_completo_visible,precio_texto_original,precio,moneda,estado_lectura,notas_validacion
VIN-001,2,Achaval Ferrer,Achaval Ferrer,Achaval Ferrer Quimera Blend Blanco,$52.800,52800,ARS,OK,
VIN-002,2,Achaval Ferrer,Achaval Ferrer,Achaval Ferrer Quimera Blend Tinto,$52.800,52800,ARS,OK,
VIN-003,2,Alfa crux,Alfa crux,Crux Cabernet franc,$10.100,10100,ARS,OK,
VIN-004,2,Alfa crux,Alfa crux,Crux Malbec,$10.100,10100,ARS,OK,
VIN-005,2,Alfa crux,Alfa crux,Crux Xtra Gewurztraminer,$21.100,21100,ARS,OK,
VIN-006,2,Alfa crux,Alfa crux,Crux Xtra Tempranillo,$21.100,21100,ARS,OK,
VIN-007,2,Alfa crux,Alfa crux,Beta Crux Malbec,$26.300,26300,ARS,OK,
VIN-008,2,Alfa crux,Alfa crux,Beta Crux Corte,$28.400,28400,ARS,OK,
VIN-009,2,Alfa crux,Alfa crux,Alfa Crux Malbec,$43.900,43900,ARS,OK,
VIN-010,2,Alfa crux,Alfa crux,Alfa Crux Corte Uco,$51.200,51200,ARS,OK,
VIN-011,2,Alma Negra,Alma Negra,Alma Negra Blanco,$28.000,28000,ARS,OK,
VIN-012,2,Alma Negra,Alma Negra,Alma Negra Tinto,$28.900,28900,ARS,OK,
VIN-013,2,Alma Negra,Alma Negra,Alma Negra Orange,$35.000,35000,ARS,OK,
VIN-014,2,Alpamanta,Alpamanta,Alpamanta Cab Sauv - Cab Franc,$15.000,15000,ARS,OK,
VIN-015,2,Alpamanta,Alpamanta,Terroir Sauvignon Blanc,$23.000,23000,ARS,OK,
VIN-016,2,Alpamanta,Alpamanta,Terroir Malbec,$23.000,23000,ARS,OK,
VIN-017,2,Alpasion wines,Alpasion wines,Grand Malbec,$38.500,38500,ARS,OK,
VIN-018,2,Alpasion wines,Alpasion wines,Grand Cabernet Franc,$48.800,48800,ARS,OK,
VIN-019,2,Alpasion wines,Alpasion wines,Grand Petit Verdot,$48.800,48800,ARS,OK,
VIN-020,2,Alpasion wines,Alpasion wines,Grand Pinot Noir,$48.800,48800,ARS,OK,
VIN-021,2,Alpasion wines,Alpasion wines,Private Selection Blend,$71.300,71300,ARS,OK,
VIN-022,2,Alpasion wines,Alpasion wines,Old School,$98.000,98000,ARS,OK,
VIN-023,2,Alta Yari,Alta Yari,Gran Malbec,$31.900,31900,ARS,OK,
VIN-024,2,Alta Yari,Alta Yari,Gran Torrontes,$31.900,31900,ARS,OK,
VIN-025,2,Alta Yari,Alta Yari,Icono Gran Corte,$47.900,47900,ARS,OK,
VIN-026,2,Altieri,Altieri,Winemaker's Selection Malbec Tannat,$30.000,30000,ARS,OK,
VIN-027,2,Altieri,Altieri,Regina Bianca Chardonnay,$38.000,38000,ARS,OK,
VIN-028,2,Altieri,Altieri,Victorio Altieri Gran Malbec,$45.000,45000,ARS,OK,
VIN-029,2,Altieri,Altieri,Chateau Brandsen Blend,$40.000,40000,ARS,OK,
VIN-030,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Abras Torrontes,$24.000,24000,ARS,OK,
VIN-031,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Altocedro Año Cero Malbec,$26.000,26000,ARS,OK,
